Full_Address,lat,long,min_dist_mrt,min_dist_mall,cbd_dist
Block 556 WOODLANDS DR 53,1.4329865,103.795862,1141.376083711859,549.3156559982724,17695.13264687444
Block 677 WOODLANDS AVE 6,1.4393129999999998,103.801863,1739.2981629965052,86.04534524524296,18138.80322843801
Block 684D WOODLANDS DR 73,1.4413742,103.80446459999999,1935.9968868417868,378.24527764943645,18271.422638117525
Block 786C WOODLANDS DR 60,1.4458898999999998,103.80131779999999,1929.6510061596873,364.9087318156182,18850.887769800822
Block 741 WOODLANDS CIRCLE,1.4443636,103.795862,1331.6169455569877,277.4237971271457,18879.30396175514
Block 663 WOODLANDS RING RD,1.4362003,103.7983975,1337.2816196196209,425.8455906104914,17934.020830147594
Block 634 WOODLANDS RING RD,1.4361542,103.8029025,1838.10021790595,449.847897319661,17770.88652528658
Block 170 WOODLANDS ST 11,1.4336197,103.77639509999999,275.07314289899153,517.9344308203225,18624.463221567697
Block 861 WOODLANDS ST 83,1.4395956,103.79531870000001,1033.03070400574,195.36715190743988,18402.21991590619
Block 571A WOODLANDS AVE 1,1.4301298999999998,103.791005,914.5154646235771,853.072021855164,17598.358154603455
